Nombre_de_Curso,Seccion,Modalidad,Edificio,Salon,Inicio,Final,Dias,Catedratico,Auxiliar,Detalle
0455 MATERIALES DE CONSTRUCCION 2,6,PRESENCIAL,T-5,CII,14:50,16:30,VI,DILMA YANET MEJICANOS JOL,,Sin restricciones
0080 TOPOGRAFIA 1,6+,PRESENCIAL,T-3,211,13:00,14:40,SA,FERNANDO AMILCAR BOITON VELASQUEZ,,Ver Restricciones
0080 TOPOGRAFIA 1,6-,PRESENCIAL,T-3,212,13:00,14:40,SA,LUIS MARTINOLY GODINEZ OROZCO,,Ver Restricciones
0300 RESISTENCIA DE MATERIALES 1,7,PRESENCIAL,T-5,CII,14:00,15:40,JU,DARIO FRANCISCO LUCAS MAZARIEGOS,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,8,PRESENCIAL,T-5,CII,15:40,17:20,JU,LUIS MARIANO ALVAREZ MURALLES,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,9,PRESENCIAL,T-5,CII,17:20,19:00,JU,LUIS MARIANO ALVAREZ MURALLES,,Sin restricciones
0236 SISTEMAS DE CONTROL 1,.A,PRESENCIAL,T-1,LABSISC,10:40,11:30,LU,MIGUEL VENTURA PEREZ,,Sin restricciones
0246 ELECTRONICA 3,.A,PRESENCIAL,T-1,LAB-ELEC,15:40,16:30,LU,HILDA FABIOLA ESPAÑA GIRÓN,,Sin restricciones
0522 PROCESOS DE MANUFACTURA 2,.A,PRESENCIAL,T-7,CNC,14:00,15:40,LU,VICTOR MANUEL RUIZ HERNANDEZ,,Sin restricciones
0200 INGENIERIA ELECTRICA 1,_A,PRESENCIAL,T-1,LAB ELEC,10:40,12:20,LU,ANA MARÍA NAVARRO  OROZCO,,Sin restricciones
0202 INGENIERIA ELECTRICA 2,_A,PRESENCIAL,T-1,LAB ELEC,13:10,14:50,MA,EDGAR YANUARIO LAJ HUN,,Sin restricciones
0204 CIRCUITOS ELECTRICOS 1,_A,PRESENCIAL,T-1,LAB-CIRC,17:20,19:00,LU,JULIO ROLANDO BARRIOS ARCHILA,,Sin restricciones
